trading_point,open,high,low,close,volume
2017-10-26,10715,10750,10693,10728,201338
2017-10-27,10748,10792,10684,10710,293136
2017-10-30,10763,10820,10724,10748,312670
2017-10-31,10754,10800,10730,10783,239500
2017-11-01,10820,10826,10775,10809,238930
2017-11-02,10770,10806,10758,10781,209894
2017-11-03,10806,10810,10747,10788,216480
2017-11-06,10793,10828,10745,10771,263176
2017-11-07,10789,10825,10778,10825,200868
2017-11-08,10810,10824,10796,10804,153892
2017-11-09,10812,10823,10706,10723,310664
2017-11-10,10687,10737,10662,10728,219918
2017-11-13,10710,10726,10688,10693,214578
2017-11-14,10695,10715,10638,10684,235250
2017-11-15,10645,10658,10602,10638,198708
2017-11-16,10587,10634,10579,10617,188520
2017-11-17,10690,10710,10672,10707,243174
2017-11-20,10714,10719,10654,10667,199370
2017-11-21,10695,10788,10682,10788,263158
2017-11-22,10825,10877,10807,10827,292184
2017-11-23,10826,10857,10810,10856,159186
2017-11-24,10841,10856,10829,10856,124374
2017-11-27,10841,10848,10737,10750,266140
2017-11-28,10735,10753,10695,10708,253352
2017-11-29,10747,10763,10708,10729,218402
2017-11-30,10650,10658,10569,10574,331640
2017-12-01,10607,10664,10495,10604,397196
2017-12-04,10604,10651,10564,10649,281344
2017-12-05,10595,10627,10546,10573,316500
2017-12-06,10540,10557,10375,10386,403992
2017-12-07,10388,10427,10331,10360,335830
2017-12-08,10388,10413,10336,10397,285678
2017-12-11,10416,10497,10415,10479,239380
2017-12-12,10496,10498,10386,10432,267144
2017-12-13,10433,10475,10421,10449,233044
2017-12-14,10508,10582,10498,10528,268922
2017-12-15,10510,10515,10421,10485,325612
2017-12-18,10527,10531,10456,10502,224072
2017-12-19,10522,10530,10443,10459,257652
2017-12-20,10457,10509,10457,10497,173292
2017-12-21,10492,10539,10475,10497,240014
2017-12-22,10498,10535,10473,10535,167388
2017-12-25,10549,10564,10520,10526,146482
2017-12-26,10540,10541,10406,10416,297132
2017-12-27,10398,10485,10393,10476,231326
2017-12-28,10495,10593,10494,10562,287154
2017-12-29,10593,10644,10576,10636,245104
2018-01-02,10629,10710,10621,10709,217104
2018-01-03,10748,10797,10729,10789,240240
2018-01-04,10831,10840,10770,10837,238308
2018-01-05,10838,10867,10801,10857,221242
2018-01-08,10886,10900,10843,10886,212794
2018-01-09,10889,10909,10850,10881,193670
2018-01-10,10885,10904,10806,10809,261344
2018-01-11,10808,10834,10765,10801,267596
2018-01-12,10824,10898,10818,10876,228438
2018-01-15,10930,10958,10902,10955,213632
2018-01-16,10939,10986,10918,10983,187698
2018-01-17,10955,11024,10940,11020,164382
2018-01-18,11063,11137,11036,11054,356952
2018-01-19,11096,11142,11080,11139,212682
